Function6 called 99 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 100 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 22 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 80 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 101 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 23 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 11 times Max cycle: 107885094  Min cycle: 102250958
Function15 called 81 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 58 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 102 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 103 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 24 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 24 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 82 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 59 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 83 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 60 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 84 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 24 times Max cycle: 28893329  Min cycle: 16320835
Function3 called 13 times Max cycle: 54384389  Min cycle: 31119865
Function12 called 12 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 104 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 105 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 23 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 12 times Max cycle: 123042466  Min cycle: 99762360
Function15 called 85 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 61 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 106 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 107 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 25 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 25 times Max cycle: 15045211  Min cycle: 5226918
Function15 called 86 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 62 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 108 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 109 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 24 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 87 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 110 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 25 times Max cycle: 28893329  Min cycle: 16320835
Function21 called 12 times Max cycle: 107885094  Min cycle: 102250958
Function15 called 88 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 63 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 111 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 112 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 26 times Max cycle: 12809207  Min cycle: 5401466
Function9 called 26 times Max cycle: 15045211  Min cycle: 5226918
Function15 called 89 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 64 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 90 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 65 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 91 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 26 times Max cycle: 29421355  Min cycle: 16320835
Function3 called 14 times Max cycle: 54384389  Min cycle: 31119865
Function12 called 13 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 113 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 114 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 25 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 13 times Max cycle: 123042466  Min cycle: 99762360
Function15 called 92 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 66 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 115 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 116 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 27 times Max cycle: 12809207  Min cycle: 5401466
Function9 called 27 times Max cycle: 15045211  Min cycle: 5226918
Function15 called 93 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 67 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 117 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 118 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 26 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 94 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 119 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 27 times Max cycle: 29421355  Min cycle: 16320835
Function21 called 13 times Max cycle: 107885094  Min cycle: 102250958
Function15 called 95 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 68 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 120 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 121 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 28 times Max cycle: 12809207  Min cycle: 5401466
Function9 called 28 times Max cycle: 15045211  Min cycle: 5226918
Function15 called 96 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 69 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 97 times Max cycle: 58802176  Min cycle: 11328097
